Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,0,2062,9,0.75609756097561
4,20,4,0,1879,9,0.540540540540541
4,20,4,0,1293,9,0.72
4,20,4,0,1949,9,0.657894736842105
4,20,4,0,1803,9,0.444444444444444
4,20,4,0,1099,10,0.714285714285714
4,20,4,0,1341,10,0.961538461538462
4,20,4,0,1082,10,0.904761904761905
4,20,4,0,1646,10,0.84375
4,20,4,0,1406,10,0.785714285714286
4,20,4,0,1347,10,1
4,20,4,0,2103,10,0.547619047619048
4,20,4,0,1411,10,0.678571428571429
4,20,4,0,1171,10,1
4,20,4,0,1571,10,1
4,20,4,0,1635,10,0.65625
4,20,4,0,1705,10,0.676470588235294
4,20,4,0,1311,10,0.846153846153846
4,20,4,0,1299,10,0.8
4,20,4,0,1546,10,0.833333333333333
4,20,4,0,1046,10,1
4,20,4,0,1597,10,0.903225806451613
4,20,4,0,1149,10,0.954545454545455
4,20,4,0,1291,10,0.72
4,20,4,0,1444,10,0.785714285714286
4,20,4,0,1976,10,0.743589743589744
4,20,4,0,1349,10,0.769230769230769
4,20,4,0,1296,10,1
4,20,4,0,1643,10,0.71875
4,20,4,0,1343,10,0.961538461538462
4,20,4,0,1414,10,0.785714285714286
4,20,4,0,1564,10,0.838709677419355
4,20,4,0,1525,11,0.7
4,20,4,0,1263,11,0.84
4,20,4,0,2015,11,0.675
4,20,4,0,1972,11,0.615384615384615
4,20,4,0,1749,11,0.558823529411765
4,20,4,0,2117,11,0.547619047619048
4,20,4,0,1666,11,0.515151515151515
4,20,4,0,2296,11,0.666666666666667
4,20,4,0,1549,11,0.633333333333333
4,20,4,0,1694,11,0.696969696969697
4,20,4,0,1516,11,0.633333333333333
4,20,4,0,1748,11,0.617647058823529
4,20,4,0,1727,11,0.705882352941177
4,20,4,0,1651,12,0.575757575757576
4,20,4,0,1606,12,0.40625
4,20,4,0,1907,12,0.5
4,20,4,0,2145,12,0.476190476190476
4,20,4,0,1978,12,0.487179487179487
4,20,4,0,1647,12,0.375
4,20,4,0,2406,12,0.583333333333333
4,20,4,0,2307,12,0.543478260869565
4,20,4,0,1816,12,0.416666666666667
4,20,4,0,1686,12,0.515151515151515
4,20,4,0,1946,12,0.631578947368421
4,20,4,0,1976,12,0.538461538461538
4,20,4,0,1743,12,0.5
4,20,4,0,1709,12,0.441176470588235
4,20,4,0,2491,12,0.387755102040816
4,20,4,0,1696,12,0.333333333333333
4,20,4,0,1892,12,0.351351351351351
4,20,4,0,1926,12,0.526315789473684
4,20,4,0,2181,12,0.465116279069767
4,20,4,0,1645,12,0.4375
4,20,4,0,1149,12,0.727272727272727
4,20,4,0,1698,12,0.424242424242424
4,20,4,0,1953,12,0.512820512820513
4,20,4,0,2097,12,0.439024390243902
4,20,4,0,1960,12,0.333333333333333
4,20,4,0,2010,12,0.4
4,20,4,0,1866,12,0.486486486486487
4,20,4,0,2056,12,0.463414634146341
4,20,4,0,1955,13,0.641025641025641
4,20,4,0,1648,13,0.625
4,20,4,0,1157,13,0.91304347826087
4,20,4,0,1204,13,0.625
4,20,4,0,1611,13,0.625
4,20,4,0,1048,13,0.6
4,20,4,0,1348,13,0.576923076923077
4,20,4,0,1195,13,0.521739130434783
4,20,4,0,1838,13,0.611111111111111
4,20,4,0,1350,13,0.777777777777778
4,20,4,0,1131,13,0.590909090909091
4,20,4,0,2197,13,0.581395348837209
4,20,4,0,1309,13,0.5
4,20,4,0,1250,13,0.52
4,20,4,0,1445,14,0.428571428571429
4,20,4,0,2047,14,0.4
4,20,4,0,1244,14,0.666666666666667
4,20,4,0,2396,14,0.553191489361702
4,20,4,0,1631,14,0.65625
4,20,4,0,1596,14,0.516129032258065
4,20,4,0,1721,14,0.617647058823529
4,20,4,0,1807,14,0.611111111111111
4,20,4,0,1855,14,0.756756756756757
4,20,4,0,2728,14,0.648148148148148
4,20,4,0,1892,14,0.621621621621622
4,20,4,0,3106,14,0.693548387096774
4,20,4,0,3411,14,0.470588235294118
4,20,4,0,1943,14,0.605263157894737
4,20,4,0,2042,14,0.75
4,20,4,0,2414,14,0.5625
4,20,4,0,2516,15,0.8
4,20,4,0,1709,15,0.5
4,20,4,0,1960,15,0.58974358974359
4,20,4,0,1896,15,0.594594594594595
4,20,4,0,1563,15,1
4,20,4,0,2114,15,0.761904761904762
4,20,4,0,1755,15,1
4,20,4,0,1427,15,0.857142857142857
4,20,4,0,2215,15,0.840909090909091
4,20,4,0,1612,15,0.78125
4,20,4,0,1981,15,1
4,20,4,0,2256,15,1
4,20,4,0,2592,15,0.803921568627451
4,20,4,0,1864,15,0.864864864864865
4,20,4,0,2147,15,0.80952380952381
4,20,4,0,993,15,0.842105263157895
4,20,4,0,2112,15,0.547619047619048
4,20,4,0,1789,15,0.6
4,20,4,0,1507,16,0.466666666666667
4,20,4,0,1797,16,0.485714285714286
4,20,4,0,1448,16,0.535714285714286
4,20,4,0,1842,16,0.5
4,20,4,0,1477,16,0.517241379310345
4,20,4,0,1513,16,0.566666666666667
4,20,4,0,1642,16,0.5625
4,20,4,0,1506,16,0.6
4,20,4,0,1181,16,0.652173913043478
