tta_or_condition,d_condition,tta_condition,is_gap_accepted,RT,subj_id,dwell_time,decision
4,20,4,False,1.347,10,1.0,Wait
4,20,4,False,2.103,10,0.547619047619048,Wait
4,20,4,False,1.411,10,0.678571428571429,Wait
4,20,4,False,1.171,10,1.0,Wait
4,20,4,False,1.571,10,1.0,Wait
4,20,4,False,1.635,10,0.65625,Wait
4,20,4,False,1.705,10,0.676470588235294,Wait
4,20,4,False,1.311,10,0.846153846153846,Wait
4,20,4,False,1.299,10,0.8,Wait
4,20,4,False,1.546,10,0.833333333333333,Wait
4,20,4,False,1.046,10,1.0,Wait
4,20,4,False,1.597,10,0.903225806451613,Wait
4,20,4,False,1.149,10,0.954545454545455,Wait
4,20,4,False,1.291,10,0.72,Wait
4,20,4,False,1.444,10,0.785714285714286,Wait
4,20,4,False,1.976,10,0.743589743589744,Wait
4,20,4,False,1.349,10,0.769230769230769,Wait
4,20,4,False,1.296,10,1.0,Wait
4,20,4,False,1.643,10,0.71875,Wait
4,20,4,False,1.343,10,0.961538461538462,Wait
4,20,4,False,1.414,10,0.785714285714286,Wait
4,20,4,False,1.564,10,0.838709677419355,Wait
4,20,4,False,1.525,11,0.7,Wait
4,20,4,False,1.263,11,0.84,Wait
4,20,4,False,2.015,11,0.675,Wait
4,20,4,False,1.972,11,0.615384615384615,Wait
4,20,4,False,1.749,11,0.558823529411765,Wait
4,20,4,False,2.117,11,0.547619047619048,Wait
4,20,4,False,1.666,11,0.515151515151515,Wait
4,20,4,False,2.296,11,0.666666666666667,Wait
4,20,4,False,1.549,11,0.633333333333333,Wait
4,20,4,False,1.694,11,0.696969696969697,Wait
4,20,4,False,1.516,11,0.633333333333333,Wait
4,20,4,False,1.748,11,0.617647058823529,Wait
4,20,4,False,1.727,11,0.705882352941177,Wait
4,20,4,False,1.651,12,0.575757575757576,Wait
4,20,4,False,1.606,12,0.40625,Wait
4,20,4,False,1.907,12,0.5,Wait
4,20,4,False,2.145,12,0.476190476190476,Wait
4,20,4,False,1.978,12,0.487179487179487,Wait
4,20,4,False,1.647,12,0.375,Wait
4,20,4,False,2.406,12,0.583333333333333,Wait
4,20,4,False,2.307,12,0.543478260869565,Wait
4,20,4,False,1.816,12,0.416666666666667,Wait
4,20,4,False,1.686,12,0.515151515151515,Wait
4,20,4,False,1.946,12,0.631578947368421,Wait
4,20,4,False,1.976,12,0.538461538461538,Wait
4,20,4,False,1.743,12,0.5,Wait
4,20,4,False,1.709,12,0.441176470588235,Wait
4,20,4,False,2.491,12,0.387755102040816,Wait
4,20,4,False,1.696,12,0.333333333333333,Wait
4,20,4,False,1.892,12,0.351351351351351,Wait
4,20,4,False,1.926,12,0.526315789473684,Wait
4,20,4,False,2.181,12,0.465116279069767,Wait
4,20,4,False,1.645,12,0.4375,Wait
4,20,4,False,1.149,12,0.727272727272727,Wait
4,20,4,False,1.698,12,0.424242424242424,Wait
4,20,4,False,1.953,12,0.512820512820513,Wait
4,20,4,False,2.097,12,0.439024390243902,Wait
4,20,4,False,1.96,12,0.333333333333333,Wait
4,20,4,False,2.01,12,0.4,Wait
4,20,4,False,1.866,12,0.486486486486487,Wait
4,20,4,False,2.056,12,0.463414634146341,Wait
4,20,4,False,1.955,13,0.641025641025641,Wait
4,20,4,False,1.648,13,0.625,Wait
4,20,4,False,1.157,13,0.91304347826087,Wait
4,20,4,False,1.204,13,0.625,Wait
4,20,4,False,1.611,13,0.625,Wait
4,20,4,False,1.048,13,0.6,Wait
4,20,4,False,1.348,13,0.576923076923077,Wait
4,20,4,False,1.195,13,0.521739130434783,Wait
4,20,4,False,1.838,13,0.611111111111111,Wait
4,20,4,False,1.35,13,0.777777777777778,Wait
4,20,4,False,1.131,13,0.590909090909091,Wait
4,20,4,False,2.197,13,0.581395348837209,Wait
4,20,4,False,1.309,13,0.5,Wait
4,20,4,False,1.25,13,0.52,Wait
4,20,4,False,1.445,14,0.428571428571429,Wait
4,20,4,False,2.047,14,0.4,Wait
4,20,4,False,1.244,14,0.666666666666667,Wait
4,20,4,False,2.396,14,0.553191489361702,Wait
4,20,4,False,1.631,14,0.65625,Wait
